t_s,hour,capacity_kw,total_req_kw,total_flex_req_kw,total_served_kw,total_unmet_kw,hospital_req_kw,hospital_served_kw,hospital_unmet_kw,hospital_flex_req_kw,hospital_flex_served_kw,hospital_flex_unmet_kw,residential_req_kw,residential_served_kw,residential_unmet_kw,residential_flex_req_kw,residential_flex_served_kw,residential_flex_unmet_kw,commercial_req_kw,commercial_served_kw,commercial_unmet_kw,commercial_flex_req_kw,commercial_flex_served_kw,commercial_flex_unmet_kw,industrial_req_kw,industrial_served_kw,industrial_unmet_kw,industrial_flex_req_kw,industrial_flex_served_kw,industrial_flex_unmet_kw,ev_charging_req_kw,ev_charging_served_kw,ev_charging_unmet_kw,ev_charging_flex_req_kw,ev_charging_flex_served_kw,ev_charging_flex_unmet_kw
3300,6.916666666666667,220.0,223.12303315347484,85,220.0,88.12303315347482,67.25392085041808,67.25392085041808,0.0,5,0.0,5.0,52.7132037847546,52.7132037847546,0.0,18,0.0,18.0,44.53055885324141,44.53055885324141,0.0,12,0.0,12.0,47.07597463820574,47.07597463820574,0.0,15,0.0,15.0,11.549375026855001,8.426341873380181,3.12303315347482,35,0.0,35.0
3600,7.0,220.0,229.76420012500512,85,220.0,94.76420012500512,70.56578667288844,70.56578667288844,0.0,5,0.0,5.0,55.169863296029966,55.169863296029966,0.0,18,0.0,18.0,45.48580112119179,45.48580112119179,0.0,12,0.0,12.0,46.847634522847336,46.847634522847336,0.0,15,0.0,15.0,11.695114512047589,1.9309143870424634,9.764200125005125,35,0.0,35.0
3900,7.083333333333333,220.0,233.83750801535598,85,220.0,98.83750801535598,68.41666396650011,68.41666396650011,0.0,5,0.0,5.0,59.14942859853411,59.14942859853411,0.0,18,0.0,18.0,47.48270317895733,47.48270317895733,0.0,12,0.0,12.0,46.85241767322268,44.95120425600846,1.9012134172142225,15,0.0,15.0,11.936294598141753,0.0,11.936294598141753,35,0.0,35.0
4200,7.166666666666667,220.0,234.95367372088577,85,220.0,99.95367372088577,66.38893607736354,66.38893607736354,0.0,5,0.0,5.0,59.388479481169966,59.388479481169966,0.0,18,0.0,18.0,47.009169701946846,47.009169701946846,0.0,12,0.0,12.0,49.89646037197652,47.213414739519635,2.6830456324568814,15,0.0,15.0,12.270628088428893,0.0,12.270628088428893,35,0.0,35.0
4500,7.25,220.0,233.05612930477852,85,220.0,98.05612930477855,68.66073559741902,68.66073559741902,0.0,5,0.0,5.0,58.5646038657283,58.5646038657283,0.0,18,0.0,18.0,48.0028877558093,48.0028877558093,0.0,12,0.0,12.0,45.83954416054047,44.77177278104337,1.0677713794971027,15,0.0,15.0,11.988357925281445,0.0,11.988357925281445,35,0.0,35.0
4800,7.333333333333333,220.0,234.25440185994466,85,220.0,99.25440185994466,68.55521402880247,68.55521402880247,0.0,5,0.0,5.0,57.96480612130535,57.96480612130535,0.0,18,0.0,18.0,45.96983557945156,45.96983557945156,0.0,12,0.0,12.0,50.03426654282382,47.51014427044061,2.5241222723832095,15,0.0,15.0,11.730279587561448,0.0,11.730279587561448,35,0.0,35.0
5100,7.416666666666667,220.0,240.768654422446,85,220.0,105.76865442244598,69.83474482136229,69.83474482136229,0.0,5,0.0,5.0,60.631588618166454,60.631588618166454,0.0,18,0.0,18.0,50.79039520152341,50.79039520152341,0.0,12,0.0,12.0,47.24598940963929,38.74327135894785,8.502718050691442,15,0.0,15.0,12.265936371754536,0.0,12.265936371754536,35,0.0,35.0
5400,7.5,220.0,252.7628675705919,85,220.0,117.7628675705919,72.72412341692394,72.72412341692394,0.0,5,0.0,5.0,64.7018579564509,64.7018579564509,0.0,18,0.0,18.0,51.430892220895565,51.430892220895565,0.0,12,0.0,12.0,51.70910636935004,31.14312640572961,20.56597996362043,15,0.0,15.0,12.196887606971464,0.0,12.196887606971464,35,0.0,35.0
5700,7.583333333333333,220.0,252.43274692115938,85,220.0,117.43274692115935,72.45260400087717,72.45260400087717,0.0,5,0.0,5.0,62.406182781856124,62.406182781856124,0.0,18,0.0,18.0,52.63316870304007,52.63316870304007,0.0,12,0.0,12.0,52.766821506431874,32.50804451422664,20.258776992205235,15,0.0,15.0,12.173969928954122,0.0,12.173969928954122,35,0.0,35.0
6000,7.666666666666667,220.0,247.805748661707,85,220.0,112.80574866170701,71.36257826282639,71.36257826282639,0.0,5,0.0,5.0,62.52848820125402,62.52848820125402,0.0,18,0.0,18.0,50.12725119629609,50.12725119629609,0.0,12,0.0,12.0,50.92369999837448,35.9816823396235,14.942017658750984,15,0.0,15.0,12.863731002956024,0.0,12.863731002956024,35,0.0,35.0
