q_ns,q_ew,phase_is_ns,time_in_phase,red_wait_ns,red_wait_ew,label_switch
0,2,1,14,0,14,0
0,5,0,0,0,32,0
2,0,0,31,31,0,0
2,0,0,25,25,0,0
0,2,1,15,0,15,0
0,5,0,1,1,0,0
2,0,0,32,32,0,0
2,0,0,26,26,0,0
0,2,1,16,0,16,0
0,5,0,2,2,0,0
2,0,0,33,33,0,0
2,0,0,27,27,0,0
0,2,1,17,0,17,0
3,5,0,3,3,0,0
2,0,0,34,34,0,0
3,0,0,28,28,0,0
0,2,1,18,0,18,0
3,5,0,4,4,0,0
2,0,0,35,35,0,0
4,0,0,29,29,0,0
0,2,1,19,0,19,0
3,5,0,5,5,0,0
2,0,0,36,36,0,0
5,0,0,30,30,0,1
0,2,1,20,0,20,0
4,5,0,6,6,0,0
5,0,1,0,30,0,0
2,0,0,37,37,0,0
0,2,1,21,0,21,0
4,5,0,7,7,0,0
5,0,1,1,0,1,0
2,0,0,38,38,0,0
0,4,1,22,0,22,0
5,4,0,8,8,0,0
4,0,1,2,0,2,0
2,0,0,39,39,0,0
0,4,1,23,0,23,0
5,5,0,9,9,0,0
4,0,1,3,0,3,0
2,0,0,40,40,0,1
0,4,1,24,0,24,0
5,4,0,10,10,0,0
3,0,1,4,0,4,0
2,0,1,0,40,0,0
0,4,1,25,0,25,0
5,4,0,11,11,0,0
3,0,1,5,0,5,0
2,0,1,1,0,1,0
0,4,1,26,0,26,0
6,3,0,12,12,0,0
2,0,1,6,0,6,0
1,1,1,2,0,2,0
1,4,1,27,0,27,0
6,3,0,13,13,0,0
2,0,1,7,0,7,0
1,1,1,3,0,3,0
1,4,1,28,0,28,0
6,2,0,14,14,0,0
1,0,1,8,0,8,0
0,1,1,4,0,4,0
2,4,1,29,0,29,0
6,3,0,15,15,0,0
2,0,1,9,0,9,0
0,2,1,5,0,5,0
1,4,1,30,0,30,0
7,2,0,16,16,0,1
2,0,1,10,0,10,0
0,3,1,6,0,6,0
7,2,1,0,16,0,0
1,5,1,31,0,31,0
2,0,1,11,0,11,0
0,3,1,7,0,7,0
7,3,1,1,0,1,0
0,5,1,32,0,32,1
1,0,1,12,0,12,0
0,4,1,8,0,8,0
6,3,1,2,0,2,0
0,5,0,0,0,32,0
1,0,1,13,0,13,0
0,5,1,9,0,9,1
6,3,1,3,0,3,0
0,6,0,1,1,0,0
0,5,0,0,0,9,0
0,0,1,14,0,14,0
5,3,1,4,0,4,0
1,5,0,2,2,0,0
0,5,0,1,1,0,0
0,0,1,15,0,15,0
5,3,1,5,0,5,0
1,5,0,3,3,0,0
0,5,0,2,2,0,0
0,0,1,16,0,16,0
4,3,1,6,0,6,0
2,4,0,4,4,0,0
3,4,0,3,3,0,0
1,0,1,17,0,17,0
4,3,1,7,0,7,0
2,4,0,5,5,0,0
3,5,0,4,4,0,0
